iter	Logloss
0	0.6365529785
1	0.5689161987
2	0.5045442505
3	0.4446805115
4	0.4031285095
5	0.3577905273
6	0.324626709
7	0.2866897583
8	0.2557948914
9	0.2280414886
10	0.2049147339
11	0.184065918
12	0.1642639313
13	0.1489243774
14	0.1348020477
15	0.1226937866
16	0.1108570709
17	0.1016389008
18	0.09065348053
19	0.08185780334
20	0.07490504456
21	0.06802448273
22	0.06231529236
23	0.05648004913
24	0.05171871948
25	0.04689448547
26	0.04280893707
27	0.03940558624
28	0.03597456741
29	0.03320822144
30	0.03083700943
31	0.02823945236
32	0.0263556366
33	0.02425215149
34	0.02230449677
35	0.0205504303
36	0.01899279213
37	0.01756059074
38	0.01632486343
39	0.01527636719
40	0.01425250244
41	0.01329391479
42	0.01251445961
43	0.01169456673
44	0.01094996643
45	0.01026514244
46	0.009631358147
47	0.009031715393
48	0.008490654945
49	0.008091621399
50	0.007641959667
51	0.007239407063
52	0.006847045898
53	0.006484912872
54	0.006158390999
55	0.005839578152
56	0.005554981232
57	0.00531088829
58	0.00507781744
59	0.004851006985
60	0.004633406639
61	0.004436816216
62	0.004242612839
63	0.004069694519
64	0.00390216732
65	0.003735590219
66	0.003581705332
67	0.003430230141
68	0.003292004585
69	0.003159694672
70	0.003047151089
71	0.002935802221
72	0.002826230526
73	0.002725805998
74	0.002637561798
75	0.002565448284
76	0.002476933241
77	0.002394183636
78	0.002322279215
79	0.002247493982
80	0.00217535162
81	0.002106373072
82	0.002045232773
83	0.001986752033
84	0.001927347541
85	0.001871682882
86	0.00181904006
87	0.001766584158
88	0.001717387199
89	0.0016764009
90	0.001629301071
91	0.00158831501
92	0.001549511909
93	0.001518433809
94	0.001478871346
95	0.001440983295
96	0.001407274842
97	0.001375519633
98	0.001343372464
99	0.001311949134
100	0.00128279078
101	0.001255878687
102	0.001230032206
103	0.001207136035
104	0.001181642294
105	0.001158001304
106	0.001135907412
107	0.001118039846
108	0.001099178314
109	0.001080975056
110	0.001060769081
111	0.001041912079
112	0.001029911995
113	0.001009299755
114	0.000996350944
115	0.0009771364927
116	0.0009597406983
117	0.0009433155656
118	0.0009308078289
119	0.0009134962559
120	0.0009008535147
121	0.0008888626099
122	0.0008756508827
123	0.0008635274768
124	0.0008498975039
125	0.0008366917372
126	0.0008239428997
127	0.0008129161
128	0.0007999689579
129	0.0007863061428
130	0.0007744058371
131	0.0007632189393
132	0.0007511325479
133	0.0007419760227
134	0.0007316516638
135	0.0007239988446
136	0.0007136278749
137	0.0007030853629
138	0.0006925674677
139	0.0006830461621
140	0.0006739664078
141	0.0006665040851
142	0.0006589039564
143	0.0006517738104
144	0.0006436601877
145	0.00063705194
146	0.0006314042211
147	0.0006230297089
148	0.0006160804033
149	0.0006078510284
150	0.0005997877121
151	0.0005926643014
152	0.0005860952735
153	0.000580493331
154	0.0005745209455
155	0.0005681749582
156	0.0005624893904
157	0.0005562896729
158	0.0005502454638
159	0.0005457066298
160	0.0005396984816
161	0.0005346217155
162	0.0005281848311
163	0.0005230053067
164	0.000517665267
165	0.000512172699
